bloc01z;;;;;choix1,choix2
bloc_cours_complementaires;Bloc Cours prescrits complémentaires Hors-Programme;option;0;9;mat1903,mat1905,mat1923
bloc_clubs_techniques_parascolaires;Bloc clubs techniques parascolaires et regroupements;option;0;0;radar,crodiroum,calculum,rhum,rfium,udemai,dirobots,gullum
